DATE,PX_LAST,VOLUME,OPEN_INTEREST
2019-02-05,5029.52,1566.0,3162.0
2019-02-06,4940.77,3783.0,3339.0
2019-02-07,4940.77,1731.0,3293.0
2019-02-08,5347.56,9872.0,2955.0
2019-02-11,5332.77,5075.0,2378.0
2019-02-12,5332.77,3944.0,2400.0
2019-02-13,5281.0,2811.0,2271.0
2019-02-14,5273.6,2122.0,2214.0
2019-02-15,5273.6,2597.0,2198.0
2019-02-19,5820.93,15944.0,1625.0
2019-02-20,5820.93,5226.0,1002.0
2019-02-21,5761.76,5427.0,384.0
2019-02-22,5814.67,392.0,294.0
2019-02-25,5651.92,5866.0,2847.0
2019-02-26,5585.34,3067.0,2675.0
2019-02-27,5489.17,4843.0,2636.0
2019-02-28,5607.54,6752.0,2515.0
2019-03-01,5651.92,1825.0,2420.0
2019-03-04,5459.58,4577.0,2368.0
2019-03-05,5674.12,4969.0,2436.0
2019-03-06,5681.51,4104.0,2370.0
2019-03-07,5725.9,4092.0,2571.0
2019-03-08,5755.49,3781.0,2551.0
2019-03-11,5674.12,3539.0,2428.0
2019-03-12,5688.91,2961.0,2455.0
2019-03-13,5688.91,2105.0,2496.0
2019-03-14,5688.91,4463.0,2362.0
2019-03-15,5770.29,2938.0,2366.0
2019-03-18,5859.06,2756.0,2343.0
2019-03-19,5910.85,2332.0,2324.0
2019-03-20,5933.04,2560.0,2290.0
2019-03-21,5866.46,3769.0,2186.0
2019-03-22,5888.65,1704.0,2021.0
2019-03-25,5762.89,2410.0,1744.0
2019-03-26,5777.68,1996.0,1317.0
2019-03-27,5925.64,4108.0,699.0
2019-03-28,5933.04,1888.0,445.0
2019-03-29,6035.66,581.0,212.0
2019-04-01,6109.72,1897.0,2550.0
2019-04-02,7072.46,10442.0,2269.0
2019-04-03,7627.89,16115.0,2605.0
2019-04-04,7168.74,21775.0,2430.0
2019-04-05,7435.34,9560.0,2589.0
2019-04-08,7716.76,16170.0,2806.0
2019-04-09,7731.57,8967.0,2736.0
2019-04-10,8020.39,7838.0,2843.0
2019-04-11,7516.81,11268.0,2706.0
2019-04-12,7501.99,7931.0,2682.0
2019-04-15,7420.53,10075.0,2529.0
2019-04-16,7701.95,6800.0,2517.0
2019-04-17,7753.79,6698.0,2496.0
2019-04-18,7842.66,6451.0,2500.0
2019-04-22,7990.77,9800.0,2283.0
2019-04-23,8279.59,10603.0,1819.0
2019-04-24,8050.02,11087.0,1231.0
2019-04-25,8131.48,3535.0,649.0
2019-04-26,7646.17,1289.0,394.0
2019-04-29,7736.48,3421.0,2434.0
2019-04-30,7871.94,4094.0,2495.0
2019-05-01,7977.3,3557.0,2447.0
2019-05-02,8112.77,4551.0,2568.0
2019-05-03,8534.21,13229.0,2692.0
2019-05-06,8647.09,7075.0,2652.0
2019-05-07,8797.61,10086.0,2750.0
2019-05-08,8880.39,7023.0,2740.0
2019-05-09,9128.74,6973.0,2888.0
2019-05-10,9580.29,9795.0,2691.0
2019-05-13,11965.95,31433.0,2982.0
2019-05-14,11710.08,26372.0,2654.0
2019-05-15,12379.87,13408.0,2740.0
2019-05-16,11853.07,19966.0,2788.0
2019-05-17,10806.99,15465.0,2704.0
2019-05-20,11815.44,15195.0,2805.0
2019-05-21,12116.47,7778.0,2798.0
2019-05-22,11965.95,10834.0,2710.0
2019-05-23,11755.23,10992.0,2716.0
2019-05-24,12169.15,12003.0,2717.0
2019-05-28,13102.34,18551.0,2197.0
2019-05-29,13079.76,11721.0,1312.0
2019-05-30,12974.4,11446.0,544.0
2019-05-31,12664.61,725.0,354.0
2019-06-03,12820.42,4641.0,3531.0
2019-06-04,11314.31,11780.0,3394.0
2019-06-05,11625.92,2851.0,3383.0
2019-06-06,11292.06,4391.0,3139.0
2019-06-07,11885.59,2925.0,3319.0
2019-06-10,11885.59,3256.0,3171.0
2019-06-11,11752.05,2537.0,3084.0
2019-06-12,12160.11,3930.0,3240.0
2019-06-13,12293.65,2079.0,3278.0
2019-06-14,12523.65,2084.0,3164.0
2019-06-17,13918.46,6926.0,3495.0
2019-06-18,13525.24,6733.0,3263.0
2019-06-19,13666.21,2222.0,3259.0
2019-06-20,14282.0,5347.0,3516.0
2019-06-21,14808.77,6905.0,3572.0
2019-06-24,16240.68,9902.0,3096.0
2019-06-25,16886.15,10348.0,2366.0
2019-06-26,20603.18,21334.0,1739.0
2019-06-27,16107.13,23272.0,534.0
2019-06-28,17455.64,385.0,377.0
2019-07-01,14384.61,9774.0,4222.0
2019-07-02,15237.29,6869.0,4268.0
2019-07-03,15764.14,6772.0,4103.0
2019-07-05,15646.29,8761.0,4072.0
2019-07-08,17254.6,3934.0,4287.0
2019-07-09,17691.34,6427.0,4406.0
2019-07-10,17011.97,10622.0,4147.0
2019-07-11,16263.27,9616.0,4067.0
2019-07-12,16263.27,3357.0,4003.0
2019-07-15,15126.37,7597.0,3972.0
2019-07-16,13490.34,8513.0,3853.0
2019-07-17,13580.46,8039.0,3861.0
2019-07-18,14627.24,8514.0,3760.0
2019-07-19,14502.46,4699.0,3565.0
2019-07-22,14065.72,5223.0,3153.0
2019-07-23,14072.65,3685.0,2563.0
2019-07-24,13365.55,5616.0,1748.0
2019-07-25,13677.51,3895.0,1073.0
2019-07-26,13536.76,919.0,497.0
2019-07-29,12874.78,3073.0,2535.0
2019-07-30,13151.73,2380.0,2766.0
2019-07-31,13665.1,2198.0,2929.0
2019-08-01,14117.67,1880.0,3088.0
2019-08-02,14320.32,2699.0,3036.0
2019-08-05,16090.1,4071.0,3128.0
2019-08-06,15982.02,3814.0,3025.0
2019-08-07,16056.32,5017.0,3087.0
2019-08-08,15792.88,2431.0,3019.0
2019-08-09,16137.38,3517.0,3184.0
2019-08-12,15617.25,1834.0,3212.0
2019-08-13,14786.41,4145.0,3065.0
2019-08-14,13725.89,6021.0,2966.0
2019-08-15,13685.36,7407.0,2790.0
2019-08-16,14205.49,5247.0,2742.0
2019-08-19,14516.21,2653.0,2765.0
2019-08-20,14556.74,2558.0,2772.0
2019-08-21,13665.1,5034.0,2542.0
2019-08-22,13759.67,3956.0,2479.0
2019-08-23,14131.18,3319.0,2576.0
2019-08-26,13955.56,4193.0,2294.0
2019-08-27,13732.65,3663.0,1736.0
2019-08-28,13030.14,5694.0,1025.0
2019-08-29,12841.0,4154.0,392.0
2019-08-30,12947.68,357.0,257.0
2019-09-03,14490.66,7222.0,3768.0
2019-09-04,14537.62,3701.0,3682.0
2019-09-05,14255.86,3606.0,3482.0
2019-09-06,14034.48,6764.0,3612.0
2019-09-09,13913.72,3966.0,3477.0
2019-09-10,13497.79,3400.0,3294.0
2019-09-11,13585.0,3528.0,3197.0
2019-09-12,13967.39,3099.0,3513.0
2019-09-13,13772.84,2876.0,3310.0
2019-09-16,13598.41,2313.0,3232.0
2019-09-17,13826.51,1583.0,3182.0
2019-09-18,13692.34,1581.0,3236.0
2019-09-19,13625.25,4344.0,3015.0
2019-09-20,13658.79,2400.0,3014.0
2019-09-23,13155.64,4645.0,2338.0
2019-09-24,11243.68,10527.0,1909.0
2019-09-25,11203.43,5824.0,1172.0
2019-09-26,10928.38,5369.0,426.0
2019-09-27,10739.81,447.0,257.0
2019-09-30,11140.8,4976.0,2142.0
2019-10-01,11127.43,3539.0,2142.0
2019-10-02,11053.92,1861.0,2147.0
2019-10-03,10906.89,2581.0,2289.0
2019-10-04,10993.77,1994.0,2180.0
2019-10-07,11033.87,5782.0,2144.0
2019-10-08,10920.25,2275.0,2126.0
2019-10-09,11555.15,4716.0,2560.0
2019-10-10,11488.32,2716.0,2457.0
2019-10-11,11167.53,4134.0,2205.0
2019-10-14,11167.53,1774.0,2184.0
